iso_alpha_3,region_name_en,planetariums_count,population,planetariums_per_million,gdp_per_capita_usd,education_expected_years,population_with_tertiary_percent,region_patents_2023,region_patents_per_million,region_patents_per_planetarium,culture_expenditure_per_capita_usd,culture_expenditure_total_usd,culture_expenditure_per_planetarium_usd
REU,Réunion,1,870000.0,1.1494252873563218,46150.4876861593,,,,,,,,
SRB,Serbia,1,6623183.0,0.1509848059460232,13523.7246826854,15.04216003,,,,,,,
MLT,Malta,1,552747.0,1.80914595646833,42347.3073860173,15.90985012,,,,,465.53,257320310.91,257320310.91
NPL,Nepal,1,29694614.0,0.0336761407304368,1447.31004458428,13.75430393,,,,,,,
LVA,Latvia,1,1877445.0,0.5326387723741575,23367.5986788961,16.48265076,,,,,,,
019-US,Northern America,175,336806231.0,0.5195865868645405,82456.86822546922,,,633700.0,1881.497257691768,3621.142857142857,,,
419,Latin America and the Caribbean,121,595252110.0,0.2032752139257431,11597.625156842378,,,,,,,,
002,Africa,19,165852079.0,0.1145599145609745,5990.765246842706,,,21500.0,129.63358752952382,1131.578947368421,,,
EU,European Union,236,435375688.0,0.5420605846966815,43145.1566930223,,,,,,,,
RU,Russia,53,143826130.0,0.3685004943121253,14889.0185546875,,,,,,,,
142,Asia,180,4313365334.0,0.0417307568596506,9272.118216907931,,,2438700.0,565.3822041868341,13548.333333333334,,,
009,Oceania,10,31897777.0,0.3135014706510739,61832.40925568073,,,37800.0,1185.0355590610593,3780.0,,,
