date;count;total_count;ratio
2008-12-03;0;2005;0
2008-12-04;1;1882;0.0005313496280552603
2008-12-05;0;1945;0
2008-12-06;0;1005;0
2008-12-07;0;1084;0
2008-12-08;1;2086;0.00047938638542665386
2008-12-09;2;2075;0.0009638554216867469
2008-12-10;0;1796;0
2008-12-11;0;2100;0
2008-12-12;0;1815;0
2008-12-13;0;838;0
2008-12-14;1;1023;0.0009775171065493646
2008-12-15;0;2000;0
2008-12-16;1;1696;0.0005896226415094339
2008-12-17;1;1091;0.0009165902841429881
2008-12-18;0;1610;0
2008-12-19;1;2058;0.00048590864917395527
2008-12-20;0;974;0
2008-12-21;1;985;0.0010152284263959391
2008-12-22;0;1795;0
2008-12-23;2;1713;0.0011675423234092236
2008-12-24;0;1198;0
2008-12-25;0;696;0
2008-12-26;0;1027;0
2008-12-27;0;738;0
2008-12-28;1;873;0.001145475372279496
2008-12-29;0;1515;0
2008-12-30;0;1473;0
2008-12-31;0;1457;0
2009-01-01;1;1066;0.0009380863039399625
2009-01-02;0;1428;0
2009-01-03;1;897;0.0011148272017837235
2009-01-04;0;957;0
2009-01-05;0;1821;0
2009-01-06;0;1580;0
2009-01-07;0;1230;0
2009-01-08;4;1813;0.002206287920573635
2009-01-09;0;973;0
2009-01-10;0;398;0
2009-01-11;0;493;0
2009-01-12;1;1081;0.0009250693802035153
2009-01-13;0;1753;0
2009-01-14;0;2060;0
2009-01-15;1;2093;0.00047778308647873863
2009-01-16;0;2027;0
2009-01-17;0;996;0
2009-01-18;0;1100;0
2009-01-19;1;1831;0.0005461496450027307
2009-01-20;0;2065;0
2009-01-21;2;1526;0.001310615989515072
2009-01-22;0;1082;0
2009-01-23;0;1372;0
2009-01-24;0;789;0
2009-01-25;0;1125;0
2009-01-26;1;2293;0.0004361098996947231
2009-01-27;1;6334;0.00015787811809283233
2009-01-28;0;2291;0
2009-01-29;4;2191;0.0018256503879507074
2009-01-30;0;2116;0
2009-01-31;1;1087;0.0009199632014719411
2009-02-01;0;1029;0
2009-02-02;0;2132;0
2009-02-03;3;1946;0.001541623843782117
2009-02-04;2;1939;0.0010314595152140279
2009-02-05;0;2201;0
2009-02-06;0;2098;0
2009-02-07;0;1029;0
2009-02-08;0;1102;0
2009-02-09;0;2343;0
2009-02-10;0;2131;0
2009-02-11;1;2119;0.00047192071731949034
2009-02-12;1;2321;0.00043084877208099956
2009-02-13;0;2148;0
2009-02-14;0;986;0
2009-02-15;0;1011;0
2009-02-16;0;1720;0
2009-02-17;0;2040;0
2009-02-18;1;9901;0.000100999899000101
2009-02-19;0;2198;0
2009-02-20;0;2018;0
2009-02-21;0;982;0
2009-02-22;0;1186;0
2009-02-23;0;2292;0
2009-02-24;0;2219;0
2009-02-25;0;2192;0
2009-02-26;0;2358;0
2009-02-27;0;2323;0
2009-02-28;0;1178;0
2009-03-01;0;1409;0
2009-03-02;3;2795;0.001073345259391771
2009-03-03;3;2623;0.001143728555089592
2009-03-04;1;2576;0.00038819875776397513
2009-03-05;3;2665;0.001125703564727955
2009-03-06;1;2537;0.00039416633819471815
2009-03-07;2;1262;0.001584786053882726
2009-03-08;0;1386;0
2009-03-09;2;2694;0.0007423904974016332
2009-03-10;2;2588;0.0007727975270479134
2009-03-11;1;2680;0.00037313432835820896
2009-03-12;2;2668;0.0007496251874062968
2009-03-13;0;2503;0
2009-03-14;1;1204;0.0008305647840531562
2009-03-15;0;1272;0
2009-03-16;3;1995;0.0015037593984962407
2009-03-17;0;2375;0
2009-03-18;2;2702;0.0007401924500370096
2009-03-19;0;2595;0
2009-03-20;0;2533;0
2009-03-21;0;866;0
2009-03-22;0;1275;0
2009-03-23;2;2586;0.0007733952049497294
2009-03-24;0;2466;0
2009-03-25;2;2665;0.00075046904315197
